Disease,Description
Dissociative disorders,"Dissociative disorders are mental disorders that involve experiencing a disconnection and lack of continuity between thoughts, memories, surroundings, actions and identity. People with dissociative disorders escape reality in ways that are involuntary and unhealthy and cause problems with functioning in everyday life."
Diverticulitis,"Diverticulosis occurs when small, bulging pouches (diverticula) develop in your digestive tract. When one or more of these pouches become inflamed or infected, the condition is called diverticulitis.
"
Dizziness,"Dizziness is a term used to describe a range of sensations, such as feeling faint, woozy, weak or unsteady. Dizziness that creates the false sense that you or your surroundings are spinning or moving is called vertigo."
Double-outlet right ventricle,
Down syndrome,"There are 23 pairs of chromosomes, for a total of 46. Half the chromosomes come from the egg (the mother) and half come from the sperm (the father). This XY chromosome pair includes the X chromosome from the egg and the Y chromosome from the sperm. In Down syndrome, there is an additional copy of chromosome 21, resulting in three copies instead of the normal two copies."
Foot drop,"Foot drop, sometimes called drop foot, is a general term for difficulty lifting the front part of the foot. If you have foot drop, the front of your foot might drag on the ground when you walk."
Dry mouth,"There are three pairs of major salivary glands — parotid, sublingual and submandibular. Each gland has its own tube (duct) leading from the gland to the mouth."
Dry skin,"Dry skin makes the skin look and feel rough, itchy, flaky or scaly. The location where these dry patches form vary from person to person. It's a common condition that affects people of all ages."
Dupuytren contracture,Dupuytren contracture is a typically painless condition that causes one or more fingers to bend toward the palm of the hand. The affected fingers can't straighten completely. It most often affects the two fingers farthest from the thumb.
Dwarfism,Dwarfism is short stature that results from a genetic or medical condition. Dwarfism is generally defined as an adult height of 4 feet 10 inches (147 centimeters) or less. The average adult height among people with dwarfism is 4 feet (122 cm).
Dysarthria,Dysarthria occurs when the muscles you use for speech are weak or you have difficulty controlling them. Dysarthria often causes slurred or slow speech that can be difficult to understand.
Dyshidrosis,"Dyshidrosis causes small, fluid-filled blisters to form on the soles of the feet, the palms of the hands or sides of the fingers."
Dyslexia,"Dyslexia is a learning disorder that involves difficulty reading due to problems identifying speech sounds and learning how they relate to letters and words (decoding). Also called a reading disability, dyslexia is a result of individual differences in areas of the brain that process language."
Painful intercourse (dyspareunia),Painful intercourse can occur for reasons that range from structural problems to psychological concerns. Many women have painful intercourse at some point in their lives.
Indigestion,"The major organs in your digestive system are the liver, stomach, gallbladder, colon and small intestine."
Persistent depressive disorder,"Persistent depressive disorder is a continuous, long-term form of depression. You may feel sad and empty, lose interest in daily activities and have trouble getting things done. You may also have low self-esteem, feel like a failure and feel hopeless. These feelings last for years and may interfere with your relationships, school, work and daily activities."
Dystonia,Dystonia is a movement disorder that causes the muscles to contract involuntarily. This can cause repetitive or twisting movements.
E. coli,"Escherichia coli (E. coli) bacteria normally live in the intestines of healthy people and animals. Most types of E. coli are harmless or cause relatively brief diarrhea. But a few strains, such as E. coli O157:H7, can cause severe stomach cramps, bloody diarrhea and vomiting."
Precocious puberty,"Precocious puberty is when children's bodies begin to change into adult bodies too soon. This change is known as puberty. Most of the time, puberty occurs after age 8 in girls and after age 9 in boys. However, Black, Hispanic, and Native American children might naturally reach puberty earlier. Precocious puberty is when puberty begins too early for the child who's going through it."
Eating disorders,"Eating disorders are serious health conditions that affect both your physical and mental health. These conditions include problems in how you think about food, eating, weight and shape, and in your eating behaviors. These symptoms can affect your health, your emotions and your ability to function in important areas of life."
Ebstein anomaly,"Ebstein anomaly is a rare heart problem present at birth. This means it's a congenital heart defect. The tricuspid valve is incorrectly formed and located lower than usual in the heart. The condition may occur with a hole between the two upper chambers of the heart, called an atrial septal defect."
Erectile dysfunction,"Learn more from Matthew Ziegelmann, M.D."
Edema,Edema is swelling caused by too much fluid trapped in the body's tissues. Edema can affect any part of the body. But it's more likely to show up in the legs and feet.
Ehlers-Danlos syndrome,"Ehlers-Danlos syndrome is a group of inherited disorders that affect your connective tissues — primarily your skin, joints and blood vessel walls. Connective tissue is a complex mixture of proteins and other substances that provide strength and elasticity to the underlying structures in your body."
Ehrlichiosis and anaplasmosis,"Ehrlichiosis and anaplasmosis are similar tick-borne illnesses that cause flu-like symptoms, including fever, muscle aches and headache. Signs and symptoms of ehrlichiosis and anaplasmosis usually appear within 14 days after a tick bite."
Eisenmenger syndrome,"Eisenmenger syndrome is most often a complication of having a hole between two chambers of the heart. Here, a hole between the heart's main pumping chambers (ventricular septal defect) causes more blood to flow to the lungs' arteries. Eventually this causes these blood vessels to stiffen and narrow, increasing pressure in the lungs' arteries. The high pressure causes the walls of the right lower heart chamber (right ventricle) to thicken (hypertrophy)."
