,Disease,combined_symptoms
474,Mittelschmerz,one side your low abdomendull and achy similar menstrual crampssharp suddenaccompanied slight vaginal bleeding dischargerarely severemittelschmerz pain usually last few minute hour but may continue for long day two pain from mittelschmerz
475,Molar pregnancy,dark brown bright red bleeding from the vagina during first three monthssevere nausea and vomitingsometimes grapelike cyst that pas vaginapelvic pressure painduring molar pregnancy placenta doesn form typically can look like mass cyst the fetus either regularly can survive
476,Moles,color and texture mole can brown tan black blue red pink they smooth wrinkle flat raise may have hair grow from them shape most mole be oval round size mole usually less than inch about millimeter diameter the size pencil eraser those present birth congenital nevus big usual cover part face torso limb the typical mole small brown spot but come different color shape size
477,Monoclonal gammopathy of undetermined significance (MGUS),age the average age diagnosis year race african and black american be more likely getmgusthan white people be sex mgusis common men family history have family member withmgusmight increase the risk people with monoclonal gammopathy often don have symptom some rash nerve problem such numbness tingle blood test for another condition might find mgus chance
478,Morning sickness,you produce urine only little that dark coloryou can keep liquid downyou feel dizzy faint when you stand upyour heart racesnausea with without vomit common pregnancy morning sickness often brought smell certain odor eat food
479,Morphea,reddish purplish oval patch skin often the belly chest backpatches that gradually develop lighter whitish centerlinear patch especially arm leg and possibly forehead scalpa gradual change affected which becomes firm thicken dry shinysigns symptom morphea vary depend type stage condition they include
480,Morton's neuroma,feel you stand pebble your shoea burning pain the ball foot that may radiate into toestingling numbness toestypically there outward sign this condition such lump instead you experience follow symptom
481,Mosquito bites,itchy inflame bump that form few minute after bitea painful spot look like hive and within hour bitesmall blistersmosquito bite often happen part the body aren cover clothing symptom include
482,Mouth cancer,lip mouth sore that doesn heala white reddish patch the inside your mouthloose teetha growth lump mouthmouth painear paindifficult painful swallowingsigns and symptom cancer may include
483,"Multiple endocrine neoplasia, type 1 (MEN 1)",tirednessbone painbroken boneskidney stonesulcers the stomach intestinessigns and symptom men include follow
484,"Multiple endocrine neoplasia, type 2 (MEN 2)",lump the throat necktrouble breathing swallowinghoarsenessdiarrheapeople with men b have tumor nerve lip mouth eye and digestive tract they also may tumor adrenal gland call pheochromocytoma medullary thyroid cancer
485,Multiple myeloma,bone pain especially your spine chestnauseaconstipationloss appetitemental fogginess confusionfatiguefrequent infectionsweight lossweakness numbness legsexcessive thirstsigns and symptom multiple myeloma can vary and early the disease there may none
486,Multiple sclerosis,numbness weakness one more limb that typically occurs side your body timetinglingelectric shock sensation occur with certain neck movement especially bending the forward lhermitte sign lack coordinationunsteady gait inability walkpartial complete loss vision usually eye time often pain during movementprolonged double visionblurry visionvertigoproblems sexual bowel and bladder functionfatigueslurred speechcognitive problemsmood disturbancesin multiple sclerosis protective coat nerve fiber myelin central nervous system damage this creates lesion that depend location system may cause symptom such numbness tingle part body
487,Multiple system atrophy (MSA),stiff musclesdifficulty bending your arm and legsslow movement bradykinesia tremor can occur rest when move legssoft voiceproblems with posture balancemultiple system atrophy msa affect many part body symptom usually start adulthood the
